model,dataset,layer,target,within_r2_natural,within_r2_balanced
base,SimpleMC,2,entropy,0.16098282753808357,0.1452538850016729
base,SimpleMC,3,entropy,0.1389622476280724,0.12263755451683289
base,SimpleMC,4,entropy,0.13995198607582093,0.15221158375216293
base,SimpleMC,5,entropy,0.14929014531362161,0.1778646461334017
base,SimpleMC,6,entropy,0.17608780251633105,0.1925701486679433
base,SimpleMC,7,entropy,0.17272676187766578,0.19779636636150166
base,SimpleMC,8,entropy,0.18333811731552063,0.19631880211848918
base,SimpleMC,9,entropy,0.18442077676059576,0.18860112193523704
base,SimpleMC,10,entropy,0.21886531177114454,0.2165342875471803
base,SimpleMC,11,entropy,0.2703778082713634,0.2577581133553929
base,SimpleMC,12,entropy,0.3412547285989591,0.33744389424325094
base,SimpleMC,13,entropy,0.5124261212505631,0.5287032996238819
base,SimpleMC,14,entropy,0.7412162203780969,0.7475106767710957
base,SimpleMC,15,entropy,0.7696012517823566,0.7736962975563003
base,SimpleMC,16,entropy,0.7842069140341597,0.7915380286834507
base,SimpleMC,17,entropy,0.8835064155454897,0.8960390967274726
base,SimpleMC,18,entropy,0.9082131372419097,0.9127104045883151
base,SimpleMC,19,entropy,0.904573166068211,0.9121342441904814
base,SimpleMC,20,entropy,0.916520406119326,0.9226752782917853
base,SimpleMC,21,entropy,0.9165249738058978,0.9231778807666915
base,SimpleMC,22,entropy,0.9316143593189917,0.9398000032467966
base,SimpleMC,23,entropy,0.9359603192379146,0.9424036701447926
base,SimpleMC,24,entropy,0.9404206443126758,0.9455187395396135
base,SimpleMC,25,entropy,0.9403997504331254,0.9444510006455462
base,SimpleMC,26,entropy,0.9386076223315751,0.9427144823382471
base,SimpleMC,27,entropy,0.9417795676339027,0.9473825283151217
base,SimpleMC,28,entropy,0.9450959229579194,0.9477679015448587
base,SimpleMC,29,entropy,0.9494880334683136,0.9531624589783558
base,SimpleMC,30,entropy,0.9443377375706808,0.9491968801375098
base,SimpleMC,31,entropy,0.9029798964002601,0.9163055675447511
base,SimpleMC,0,stated_confidence,0.11859534524850157,0.11249352231141385
base,SimpleMC,1,stated_confidence,0.1647810122722192,0.16786988435008077
base,SimpleMC,2,stated_confidence,0.1999010302259815,0.1982030169566661
base,SimpleMC,3,stated_confidence,0.24274344723178765,0.2567395815645648
base,SimpleMC,4,stated_confidence,0.27758502652634076,0.291996532002918
base,SimpleMC,5,stated_confidence,0.2922705810049425,0.3243141473262767
base,SimpleMC,6,stated_confidence,0.2828476772562264,0.31550095208492623
base,SimpleMC,7,stated_confidence,0.3014590059650144,0.3278375751867717
base,SimpleMC,8,stated_confidence,0.31224957574745105,0.3429838100379087
base,SimpleMC,9,stated_confidence,0.3357052432145201,0.37340586995924796
base,SimpleMC,10,stated_confidence,0.37935595653408594,0.39570592879441846
base,SimpleMC,11,stated_confidence,0.4086203726602208,0.425651966848117
base,SimpleMC,12,stated_confidence,0.44822715303714167,0.4583281136119314
base,SimpleMC,13,stated_confidence,0.4373274538782953,0.4637192735182517
base,SimpleMC,14,stated_confidence,0.4170474387973976,0.4440047379859231
base,SimpleMC,15,stated_confidence,0.4041114166024161,0.42079513869172147
base,SimpleMC,16,stated_confidence,0.39965479745866794,0.42333972967356714
base,SimpleMC,17,stated_confidence,0.3866323411853647,0.3975668613878973
base,SimpleMC,18,stated_confidence,0.41103252140197233,0.4039291071638077
base,SimpleMC,19,stated_confidence,0.4124743694664609,0.40233176557501793
base,SimpleMC,20,stated_confidence,0.41102789084749936,0.4033567206732118
base,SimpleMC,21,stated_confidence,0.4004191808496853,0.39384178780823165
base,SimpleMC,22,stated_confidence,0.391375511913331,0.3791029126167983
base,SimpleMC,23,stated_confidence,0.3946495696195391,0.38749796867874564
base,SimpleMC,24,stated_confidence,0.3891733448292345,0.37537004622562575
base,SimpleMC,25,stated_confidence,0.40882593704937786,0.3936034798984629
base,SimpleMC,26,stated_confidence,0.4053516720132109,0.3920361559120532
base,SimpleMC,27,stated_confidence,0.38404952293188166,0.3701760037797611
base,SimpleMC,28,stated_confidence,0.3932801306869833,0.3803083625622631
base,SimpleMC,29,stated_confidence,0.37314517001217673,0.36595551406753224
base,SimpleMC,30,stated_confidence,0.35022924724368465,0.35538304897736417
base,SimpleMC,31,stated_confidence,0.29306753123756357,0.3050181607170731
base,SimpleMC,0,is_correct,0.674,0.6827731092436975
base,SimpleMC,1,is_correct,0.676,0.6680672268907563
base,SimpleMC,2,is_correct,0.656,0.6848739495798319
base,SimpleMC,3,is_correct,0.652,0.6680672268907563
base,SimpleMC,4,is_correct,0.66,0.6764705882352942
base,SimpleMC,5,is_correct,0.658,0.6596638655462185
base,SimpleMC,6,is_correct,0.658,0.6659663865546218
base,SimpleMC,7,is_correct,0.662,0.6722689075630253
base,SimpleMC,8,is_correct,0.678,0.657563025210084
base,SimpleMC,9,is_correct,0.68,0.6470588235294118
base,SimpleMC,10,is_correct,0.67,0.657563025210084
base,SimpleMC,11,is_correct,0.67,0.6659663865546218
base,SimpleMC,12,is_correct,0.688,0.6953781512605042
base,SimpleMC,13,is_correct,0.68,0.6785714285714286
base,SimpleMC,14,is_correct,0.698,0.6911764705882353
base,SimpleMC,15,is_correct,0.686,0.7058823529411765
base,SimpleMC,16,is_correct,0.68,0.6785714285714286
base,SimpleMC,17,is_correct,0.676,0.6680672268907563
base,SimpleMC,18,is_correct,0.682,0.6848739495798319
base,SimpleMC,19,is_correct,0.692,0.6995798319327731
base,SimpleMC,20,is_correct,0.68,0.6827731092436975
base,SimpleMC,21,is_correct,0.678,0.6848739495798319
base,SimpleMC,22,is_correct,0.698,0.6953781512605042
base,SimpleMC,23,is_correct,0.678,0.680672268907563
base,SimpleMC,24,is_correct,0.68,0.6827731092436975
base,SimpleMC,25,is_correct,0.674,0.6848739495798319
base,SimpleMC,26,is_correct,0.664,0.6722689075630253
base,SimpleMC,27,is_correct,0.68,0.6722689075630253
base,SimpleMC,28,is_correct,0.672,0.6722689075630253
base,SimpleMC,29,is_correct,0.668,0.6785714285714286
base,SimpleMC,30,is_correct,0.672,0.6680672268907563
base,SimpleMC,31,is_correct,0.674,0.6890756302521008
base,TriviaMC,0,margin_logit,0.07948268966986005,0.07948268966986005
base,TriviaMC,1,margin_logit,0.1366299414039388,0.1366299414039388
base,TriviaMC,2,margin_logit,0.14973941558676895,0.14973941558676895
base,TriviaMC,3,margin_logit,0.16949228169509656,0.16949228169509656
base,TriviaMC,4,margin_logit,0.16433856647547884,0.16433856647547884
base,TriviaMC,5,margin_logit,0.1821087221038724,0.1821087221038724
base,TriviaMC,6,margin_logit,0.18297154138934235,0.18297154138934235
base,TriviaMC,7,margin_logit,0.2068438799812622,0.2068438799812622
base,TriviaMC,8,margin_logit,0.2616835883936044,0.2616835883936044
base,TriviaMC,9,margin_logit,0.3131487508348101,0.3131487508348101
base,TriviaMC,10,margin_logit,0.34050682556126133,0.34050682556126133
base,TriviaMC,11,margin_logit,0.40339008194298676,0.40339008194298676
base,TriviaMC,12,margin_logit,0.5612439580726291,0.5612439580726291
base,TriviaMC,13,margin_logit,0.7112650944452021,0.7112650944452021
base,TriviaMC,14,margin_logit,0.834136029842519,0.834136029842519
base,TriviaMC,15,margin_logit,0.8501102846621262,0.8501102846621262
base,TriviaMC,16,margin_logit,0.8581646510132295,0.8581646510132295
base,TriviaMC,17,margin_logit,0.8873336489961472,0.8873336489961472
base,TriviaMC,18,margin_logit,0.8952485252398703,0.8952485252398703
base,TriviaMC,19,margin_logit,0.8966233374268181,0.8966233374268181
base,TriviaMC,20,margin_logit,0.9099770603720121,0.9099770603720121
base,TriviaMC,21,margin_logit,0.9190942915704639,0.9190942915704639
base,TriviaMC,22,margin_logit,0.9207643282763176,0.9207643282763176
base,TriviaMC,23,margin_logit,0.92174829012448,0.92174829012448
base,TriviaMC,24,margin_logit,0.9248011622052749,0.9248011622052749
base,TriviaMC,25,margin_logit,0.9277224703219307,0.9277224703219307
base,TriviaMC,26,margin_logit,0.9277756580320706,0.9277756580320706
base,TriviaMC,27,margin_logit,0.9280799202199996,0.9280799202199996
base,TriviaMC,28,margin_logit,0.9292207818796674,0.9292207818796674
base,TriviaMC,29,margin_logit,0.9355826404705336,0.9355826404705336
base,TriviaMC,30,margin_logit,0.9342444767410153,0.9342444767410153
base,TriviaMC,31,margin_logit,0.9172117001413601,0.9172117001413601
base,TriviaMC,0,margin_prob,0.09246906850462733,0.09246906850462733
base,TriviaMC,1,margin_prob,0.1439749375046585,0.1439749375046585
base,TriviaMC,2,margin_prob,0.16676101896699047,0.16676101896699047
base,TriviaMC,3,margin_prob,0.17504450306783215,0.17504450306783215
base,TriviaMC,4,margin_prob,0.17222835069617148,0.17222835069617148
base,TriviaMC,5,margin_prob,0.19135757962530786,0.19135757962530786
base,TriviaMC,6,margin_prob,0.2043645888270359,0.2043645888270359
base,TriviaMC,7,margin_prob,0.21285115131275878,0.21285115131275878
base,TriviaMC,8,margin_prob,0.26421783956683975,0.26421783956683975
base,TriviaMC,9,margin_prob,0.2987897530885709,0.2987897530885709
base,TriviaMC,10,margin_prob,0.341940379346086,0.341940379346086
base,TriviaMC,11,margin_prob,0.3863709815493874,0.3863709815493874
base,TriviaMC,12,margin_prob,0.497450303486748,0.497450303486748
base,TriviaMC,13,margin_prob,0.6236692698570634,0.6236692698570634
base,TriviaMC,14,margin_prob,0.7705716417656185,0.7705716417656185
base,TriviaMC,15,margin_prob,0.7868652854026964,0.7868652854026964
base,TriviaMC,16,margin_prob,0.7997668223715433,0.7997668223715433
base,TriviaMC,17,margin_prob,0.8320687522968265,0.8320687522968265
base,TriviaMC,18,margin_prob,0.8384750771949292,0.8384750771949292
base,TriviaMC,19,margin_prob,0.8479627952392381,0.8479627952392381
base,TriviaMC,20,margin_prob,0.8641063816400179,0.8641063816400179
base,TriviaMC,21,margin_prob,0.8736914339185178,0.8736914339185178
base,TriviaMC,22,margin_prob,0.8799085123100869,0.8799085123100869
base,TriviaMC,23,margin_prob,0.8780445040885972,0.8780445040885972
base,TriviaMC,24,margin_prob,0.8830844174603463,0.8830844174603463
base,TriviaMC,25,margin_prob,0.8842447568219942,0.8842447568219942
base,TriviaMC,26,margin_prob,0.8832423733542762,0.8832423733542762
base,TriviaMC,27,margin_prob,0.8807019003149337,0.8807019003149337
base,TriviaMC,28,margin_prob,0.8841283177973447,0.8841283177973447
base,TriviaMC,29,margin_prob,0.8892922113267636,0.8892922113267636
base,TriviaMC,30,margin_prob,0.8860881365761507,0.8860881365761507
base,TriviaMC,31,margin_prob,0.8583607046610149,0.8583607046610149
base,TriviaMC,0,entropy,0.10545110239071354,0.10545110239071354
base,TriviaMC,1,entropy,0.1670328237723896,0.1670328237723896
base,TriviaMC,2,entropy,0.18959583507495925,0.18959583507495925
base,TriviaMC,3,entropy,0.20831527386990645,0.20831527386990645
base,TriviaMC,4,entropy,0.20691871393534988,0.20691871393534988
base,TriviaMC,5,entropy,0.22785807703915073,0.22785807703915073
base,TriviaMC,6,entropy,0.23310948171392898,0.23310948171392898
base,TriviaMC,7,entropy,0.2648509280700537,0.2648509280700537
base,TriviaMC,8,entropy,0.33575980607247635,0.33575980607247635
base,TriviaMC,9,entropy,0.3789528987753452,0.3789528987753452
base,TriviaMC,10,entropy,0.4291549224370428,0.4291549224370428
base,TriviaMC,11,entropy,0.4944712836406311,0.4944712836406311
base,TriviaMC,12,entropy,0.6134507417033499,0.6134507417033499
base,TriviaMC,13,entropy,0.7641867675238831,0.7641867675238831
base,TriviaMC,14,entropy,0.8963981174824144,0.8963981174824144
base,TriviaMC,15,entropy,0.9092271590748422,0.9092271590748422
base,TriviaMC,16,entropy,0.9177289765199536,0.9177289765199536
base,TriviaMC,17,entropy,0.9394282974114506,0.9394282974114506
base,TriviaMC,18,entropy,0.94633213745279,0.94633213745279
base,TriviaMC,19,entropy,0.9532901924415592,0.9532901924415592
base,TriviaMC,20,entropy,0.9601927792835119,0.9601927792835119
base,TriviaMC,21,entropy,0.9632476243213908,0.9632476243213908
base,TriviaMC,22,entropy,0.9681776703198842,0.9681776703198842
base,TriviaMC,23,entropy,0.9672354157526067,0.9672354157526067
base,TriviaMC,24,entropy,0.9687670594240541,0.9687670594240541
base,TriviaMC,25,entropy,0.9688405600578546,0.9688405600578546
base,TriviaMC,26,entropy,0.9690393101130463,0.9690393101130463
base,TriviaMC,27,entropy,0.969546647841839,0.969546647841839
base,TriviaMC,28,entropy,0.9710785492141006,0.9710785492141006
base,TriviaMC,29,entropy,0.9748720990235094,0.9748720990235094
base,TriviaMC,30,entropy,0.9753916252816102,0.9753916252816102
base,TriviaMC,31,entropy,0.9644443336095327,0.9644443336095327
base,TriviaMC,0,stated_confidence,0.0425643349890672,0.0425643349890672
base,TriviaMC,1,stated_confidence,0.09803701965198419,0.09803701965198419
base,TriviaMC,2,stated_confidence,0.14862293372878266,0.14862293372878266
base,TriviaMC,3,stated_confidence,0.19229898736508932,0.19229898736508932
base,TriviaMC,4,stated_confidence,0.22051292030732206,0.22051292030732206
base,TriviaMC,5,stated_confidence,0.28501942565318217,0.28501942565318217
base,TriviaMC,6,stated_confidence,0.29485647200934006,0.29485647200934006
base,TriviaMC,7,stated_confidence,0.36789854909489894,0.36789854909489894
base,TriviaMC,8,stated_confidence,0.41608661867757746,0.41608661867757746
base,TriviaMC,9,stated_confidence,0.4931394151556887,0.4931394151556887
base,TriviaMC,10,stated_confidence,0.5570579498401511,0.5570579498401511
base,TriviaMC,11,stated_confidence,0.6145714948935096,0.6145714948935096
base,TriviaMC,12,stated_confidence,0.6923814918702695,0.6923814918702695
base,TriviaMC,13,stated_confidence,0.6877827855424659,0.6877827855424659
base,TriviaMC,14,stated_confidence,0.6540759066746,0.6540759066746
base,TriviaMC,15,stated_confidence,0.6378709958592359,0.6378709958592359
base,TriviaMC,16,stated_confidence,0.6366503432707433,0.6366503432707433
base,TriviaMC,17,stated_confidence,0.6253457282810683,0.6253457282810683
base,TriviaMC,18,stated_confidence,0.6413346438378588,0.6413346438378588
base,TriviaMC,19,stated_confidence,0.6431708532872473,0.6431708532872473
base,TriviaMC,20,stated_confidence,0.6472283710872886,0.6472283710872886
base,TriviaMC,21,stated_confidence,0.6434694033197698,0.6434694033197698
base,TriviaMC,22,stated_confidence,0.6391884028162934,0.6391884028162934
base,TriviaMC,23,stated_confidence,0.6327340878921961,0.6327340878921961
base,TriviaMC,24,stated_confidence,0.6309926911356252,0.6309926911356252
base,TriviaMC,25,stated_confidence,0.6219287363390262,0.6219287363390262
base,TriviaMC,26,stated_confidence,0.617797507651809,0.617797507651809
base,TriviaMC,27,stated_confidence,0.6169436881540911,0.6169436881540911
base,TriviaMC,28,stated_confidence,0.626551294184303,0.626551294184303
base,TriviaMC,29,stated_confidence,0.6296868053097527,0.6296868053097527
base,TriviaMC,30,stated_confidence,0.610435301561365,0.610435301561365
base,TriviaMC,31,stated_confidence,0.5755683815922377,0.5755683815922377
base,TriviaMC,0,is_correct,0.66125,0.66125
base,TriviaMC,1,is_correct,0.65125,0.65125
base,TriviaMC,2,is_correct,0.64625,0.64625
base,TriviaMC,3,is_correct,0.66125,0.66125
base,TriviaMC,4,is_correct,0.67,0.67
base,TriviaMC,5,is_correct,0.67375,0.67375
base,TriviaMC,6,is_correct,0.695,0.695
base,TriviaMC,7,is_correct,0.68625,0.68625
base,TriviaMC,8,is_correct,0.6875,0.6875
base,TriviaMC,9,is_correct,0.70375,0.70375
base,TriviaMC,10,is_correct,0.695,0.695
base,TriviaMC,11,is_correct,0.695,0.695
base,TriviaMC,12,is_correct,0.72125,0.72125
base,TriviaMC,13,is_correct,0.745,0.745
base,TriviaMC,14,is_correct,0.7525,0.7525
base,TriviaMC,15,is_correct,0.75125,0.75125
base,TriviaMC,16,is_correct,0.7425,0.7425
base,TriviaMC,17,is_correct,0.7375,0.7375
base,TriviaMC,18,is_correct,0.745,0.745
base,TriviaMC,19,is_correct,0.74,0.74
base,TriviaMC,20,is_correct,0.75625,0.75625
base,TriviaMC,21,is_correct,0.74375,0.74375
base,TriviaMC,22,is_correct,0.745,0.745
base,TriviaMC,23,is_correct,0.7475,0.7475
base,TriviaMC,24,is_correct,0.75875,0.75875
base,TriviaMC,25,is_correct,0.76375,0.76375
base,TriviaMC,26,is_correct,0.76375,0.76375
base,TriviaMC,27,is_correct,0.7675,0.7675
base,TriviaMC,28,is_correct,0.75875,0.75875
base,TriviaMC,29,is_correct,0.75375,0.75375
base,TriviaMC,30,is_correct,0.7575,0.7575
base,TriviaMC,31,is_correct,0.74875,0.74875
instruct,SimpleMC,0,margin_logit,0.05395621374611659,0.05395621374611659
instruct,SimpleMC,1,margin_logit,0.06915890986145512,0.06915890986145512
instruct,SimpleMC,2,margin_logit,0.07708108996160812,0.07708108996160812
instruct,SimpleMC,3,margin_logit,0.07892590362139074,0.07892590362139074
instruct,SimpleMC,4,margin_logit,0.08158635509296996,0.08158635509296996
instruct,SimpleMC,5,margin_logit,0.08541592486719474,0.08541592486719474
instruct,SimpleMC,6,margin_logit,0.08770896725889021,0.08770896725889021
instruct,SimpleMC,7,margin_logit,0.11526393919257516,0.11526393919257516
instruct,SimpleMC,8,margin_logit,0.12433820749014957,0.12433820749014957
instruct,SimpleMC,9,margin_logit,0.12127829178024918,0.12127829178024918
instruct,SimpleMC,10,margin_logit,0.130659600887703,0.130659600887703
instruct,SimpleMC,11,margin_logit,0.14362426841061537,0.14362426841061537
instruct,SimpleMC,12,margin_logit,0.1918484146395848,0.1918484146395848
instruct,SimpleMC,13,margin_logit,0.30162444835400637,0.30162444835400637
instruct,SimpleMC,14,margin_logit,0.47893552817291174,0.47893552817291174
instruct,SimpleMC,15,margin_logit,0.5024852498414826,0.5024852498414826
instruct,SimpleMC,16,margin_logit,0.5250614185721856,0.5250614185721856
instruct,SimpleMC,17,margin_logit,0.7109168872252263,0.7109168872252263
instruct,SimpleMC,18,margin_logit,0.7367525031199773,0.7367525031199773
instruct,SimpleMC,19,margin_logit,0.745472692928342,0.745472692928342
instruct,SimpleMC,20,margin_logit,0.7631830688524505,0.7631830688524505
instruct,SimpleMC,21,margin_logit,0.7619723350639412,0.7619723350639412
instruct,SimpleMC,22,margin_logit,0.7516277190838133,0.7516277190838133
instruct,SimpleMC,23,margin_logit,0.7468297897526224,0.7468297897526224
instruct,SimpleMC,24,margin_logit,0.7568643798096251,0.7568643798096251
instruct,SimpleMC,25,margin_logit,0.7624158888925474,0.7624158888925474
instruct,SimpleMC,26,margin_logit,0.7640204431689501,0.7640204431689501
instruct,SimpleMC,27,margin_logit,0.7591393630240547,0.7591393630240547
instruct,SimpleMC,28,margin_logit,0.7553624982119496,0.7553624982119496
instruct,SimpleMC,29,margin_logit,0.7620091629088505,0.7620091629088505
instruct,SimpleMC,30,margin_logit,0.75892592394813,0.75892592394813
instruct,SimpleMC,31,margin_logit,0.7251589552274058,0.7251589552274058
instruct,SimpleMC,0,margin_prob,0.05556282067496243,0.05556282067496243
instruct,SimpleMC,1,margin_prob,0.06364066726318351,0.06364066726318351
instruct,SimpleMC,2,margin_prob,0.07056898408564238,0.07056898408564238
instruct,SimpleMC,3,margin_prob,0.07143558045542264,0.07143558045542264
instruct,SimpleMC,4,margin_prob,0.06805148210364764,0.06805148210364764
instruct,SimpleMC,5,margin_prob,0.07505472802167346,0.07505472802167346
instruct,SimpleMC,6,margin_prob,0.08589778179959517,0.08589778179959517
instruct,SimpleMC,7,margin_prob,0.11086690506196317,0.11086690506196317
instruct,SimpleMC,8,margin_prob,0.11943245282174286,0.11943245282174286
instruct,SimpleMC,9,margin_prob,0.10968796081724841,0.10968796081724841
instruct,SimpleMC,10,margin_prob,0.12493056965253158,0.12493056965253158
instruct,SimpleMC,11,margin_prob,0.12921524270429563,0.12921524270429563
instruct,SimpleMC,12,margin_prob,0.17074874743029822,0.17074874743029822
instruct,SimpleMC,13,margin_prob,0.2665291890325606,0.2665291890325606
instruct,SimpleMC,14,margin_prob,0.431963087858686,0.431963087858686
instruct,SimpleMC,15,margin_prob,0.4316535391543215,0.4316535391543215
instruct,SimpleMC,16,margin_prob,0.45628266789818506,0.45628266789818506
instruct,SimpleMC,17,margin_prob,0.5630129646794396,0.5630129646794396
instruct,SimpleMC,18,margin_prob,0.655925598954551,0.655925598954551
instruct,SimpleMC,19,margin_prob,0.6685946093219737,0.6685946093219737
instruct,SimpleMC,20,margin_prob,0.6767220737856193,0.6767220737856193
instruct,SimpleMC,21,margin_prob,0.6867635717133762,0.6867635717133762
instruct,SimpleMC,22,margin_prob,0.6799946281184623,0.6799946281184623
instruct,SimpleMC,23,margin_prob,0.6774419400050498,0.6774419400050498
instruct,SimpleMC,24,margin_prob,0.6796155641365691,0.6796155641365691
instruct,SimpleMC,25,margin_prob,0.6853048479248096,0.6853048479248096
instruct,SimpleMC,26,margin_prob,0.6843701289952171,0.6843701289952171
instruct,SimpleMC,27,margin_prob,0.681860975438418,0.681860975438418
instruct,SimpleMC,28,margin_prob,0.6749568331856646,0.6749568331856646
instruct,SimpleMC,29,margin_prob,0.6785668665347837,0.6785668665347837
instruct,SimpleMC,30,margin_prob,0.6642271488016985,0.6642271488016985
instruct,SimpleMC,31,margin_prob,0.640880443218334,0.640880443218334
instruct,SimpleMC,0,entropy,0.0840493631983239,0.0840493631983239
instruct,SimpleMC,1,entropy,0.09284148687530758,0.09284148687530758
instruct,SimpleMC,2,entropy,0.10425921764066348,0.10425921764066348
instruct,SimpleMC,3,entropy,0.11149485990209285,0.11149485990209285
instruct,SimpleMC,4,entropy,0.10706968082660506,0.10706968082660506
instruct,SimpleMC,5,entropy,0.11982062799583737,0.11982062799583737
instruct,SimpleMC,6,entropy,0.12376746017234519,0.12376746017234519
instruct,SimpleMC,7,entropy,0.15259385855182517,0.15259385855182517
instruct,SimpleMC,8,entropy,0.15928637206514684,0.15928637206514684
instruct,SimpleMC,9,entropy,0.14427716588722106,0.14427716588722106
instruct,SimpleMC,10,entropy,0.17241424224801494,0.17241424224801494
instruct,SimpleMC,11,entropy,0.16754006228335983,0.16754006228335983
instruct,SimpleMC,12,entropy,0.25909087690306976,0.25909087690306976
instruct,SimpleMC,13,entropy,0.42529791493412816,0.42529791493412816
instruct,SimpleMC,14,entropy,0.643139957685855,0.643139957685855
instruct,SimpleMC,15,entropy,0.6561766879314885,0.6561766879314885
instruct,SimpleMC,16,entropy,0.6822825943538151,0.6822825943538151
instruct,SimpleMC,17,entropy,0.7984884798880596,0.7984884798880596
instruct,SimpleMC,18,entropy,0.8809040059686196,0.8809040059686196
instruct,SimpleMC,19,entropy,0.8995514875183253,0.8995514875183253
instruct,SimpleMC,20,entropy,0.9042225091241096,0.9042225091241096
instruct,SimpleMC,21,entropy,0.9099854054289372,0.9099854054289372
instruct,SimpleMC,22,entropy,0.9101228453005984,0.9101228453005984
instruct,SimpleMC,23,entropy,0.9093568454601405,0.9093568454601405
instruct,SimpleMC,24,entropy,0.9135165812726663,0.9135165812726663
instruct,SimpleMC,25,entropy,0.9119245474353544,0.9119245474353544
instruct,SimpleMC,26,entropy,0.9110659071542658,0.9110659071542658
instruct,SimpleMC,27,entropy,0.9086160756353461,0.9086160756353461
